startest,,诱饵,手动触发,,2015-06-10,--&--&--&--&--&--,--&--&--&--,-1.3,0.4,1.0,4.8,--&--,--
0,1,1,1,1,1,1,0,0,0,0,0,0,4
True,False,False,False,False,False,False,False,False,False,False,True,True,True
-0.985,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.58442687988,4.60945129395,4.5849609375,4.59777832031,0.0,0.0,0.0
-0.9845,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.57290649414,4.59609985352,4.57176208496,4.58534240723,0.0,0.0,0.0
-0.984,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.55940246582,4.58335876465,4.55810546875,4.57305908203,0.0,0.0,0.0
-0.9835,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.5458984375,4.57160949707,4.54513549805,4.56031799316,0.0,0.0,0.0
-0.983,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.53315734863,4.55871582031,4.53315734863,4.5467376709,0.0,0.0,0.0
-0.9825,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.52217102051,4.54528808594,4.521484375,4.53430175781,0.0,0.0,0.0
-0.982,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.50988769531,4.5329284668,4.5085144043,4.52209472656,0.0,0.0,0.0
-0.9815,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.49645996094,4.52140808105,4.49546813965,4.51065063477,0.0,0.0,0.0
-0.981,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.48348999023,4.50912475586,4.48348999023,4.49783325195,0.0,0.0,0.0
-0.9805,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.4718170166,4.49592590332,4.47219848633,4.48471069336,0.0,0.0,0.0
-0.98,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.46105957031,4.48356628418,4.46006774902,4.47303771973,0.0,0.0,0.0
-0.9795,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.44831848145,4.47158813477,4.44694519043,4.46174621582,0.0,0.0,0.0
-0.979,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.4352722168,4.46060180664,4.4352722168,4.45068359375,0.0,0.0,0.0
-0.9785,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.45732116699,4.48822021484,4.4702911377,4.49028015137,0.0,0.0,0.0
-0.978,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.58099365234,4.61288452148,4.59747314453,4.61959838867,0.0,0.0,0.0
-0.9775,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.65103149414,4.67506408691,4.64965820312,4.66613769531,0.0,0.0,0.0
-0.977,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.63836669922,4.66423034668,4.63691711426,4.65202331543,0.0,0.0,0.0
-0.9765,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.62356567383,4.64920043945,4.62326049805,4.63691711426,0.0,0.0,0.0
-0.976,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.61090087891,4.63439941406,4.60990905762,4.62287902832,0.0,0.0,0.0
-0.9755,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.59732055664,4.62097167969,4.59594726562,4.61029052734,0.0,0.0,0.0
-0.975,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.58312988281,4.60845947266,4.58190917969,4.59732055664,0.0,0.0,0.0
-0.9745,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.56954956055,4.59541320801,4.56932067871,4.58389282227,0.0,0.0,0.0
-0.974,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.55711364746,4.58183288574,4.55741882324,4.5703125,0.0,0.0,0.0
-0.9735,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.54582214355,4.56871032715,4.54444885254,4.5580291748,0.0,0.0,0.0
-0.973,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.53285217285,4.5565032959,4.53109741211,4.54612731934,0.0,0.0,0.0
-0.9725,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.51927185059,4.54467773438,4.51843261719,4.53330993652,0.0,0.0,0.0
-0.972,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.50675964355,4.53193664551,4.50645446777,4.52041625977,0.0,0.0,0.0
-0.9715,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.49516296387,4.51889038086,4.49501037598,4.50775146484,0.0,0.0,0.0
-0.971,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.48364257812,4.50660705566,4.48219299316,4.49592590332,0.0,0.0,0.0
-0.9705,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.47044372559,4.4953918457,4.4694519043,4.48440551758,0.0,0.0,0.0
-0.97,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.45755004883,4.48303222656,4.45785522461,4.47189331055,0.0,0.0,0.0
-0.9695,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.44610595703,4.4701385498,4.44633483887,4.45899963379,0.0,0.0,0.0
-0.969,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.43588256836,4.45899963379,4.43687438965,4.4514465332,0.0,0.0,0.0
-0.9685,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.46990966797,4.50065612793,4.48257446289,4.5051574707,0.0,0.0,0.0
-0.968,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.59579467773,4.63043212891,4.61204528809,4.63439941406,0.0,0.0,0.0
-0.9675,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.64874267578,4.67483520508,4.65133666992,4.66598510742,0.0,0.0,0.0
-0.967,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.63714599609,4.66041564941,4.63577270508,4.6492767334,0.0,0.0,0.0
-0.9665,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.6223449707,4.64645385742,4.62066650391,4.63577270508,0.0,0.0,0.0
-0.966,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.60739135742,4.63348388672,4.60670471191,4.62181091309,0.0,0.0,0.0
-0.9655,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.59373474121,4.61929321289,4.59373474121,4.6076965332,0.0,0.0,0.0
-0.965,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.58183288574,4.60556030273,4.58137512207,4.59419250488,0.0,0.0,0.0
-0.9645,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.56916809082,4.59281921387,4.5679473877,4.58145141602,0.0,0.0,0.0
-0.964,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.55596923828,4.58045959473,4.55421447754,4.56954956055,0.0,0.0,0.0
-0.9635,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.54208374023,4.56787109375,4.54193115234,4.55642700195,0.0,0.0,0.0
-0.963,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.53018188477,4.55459594727,4.53033447266,4.54315185547,0.0,0.0,0.0
-0.9625,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.5189666748,4.54139709473,4.51759338379,4.53125,0.0,0.0,0.0
