startest,,鱼雷,手动触发,,2015-06-12,--&--&--&--&-0.14&--,--&--&--&--,--,--,8.8,8.8,--&--,0
0,1,1,1,1,4,1,0,0,0,0,0,0,1
True,False,False,False,False,True,False,False,False,False,False,False,False,False
0.01,-0.1013,-0.1013,-0.1013,-0.1013,-0.102915524292,-0.1013,4.4792175293,4.50355529785,4.47731018066,4.49241638184,0.0,0.0,0.0
0.0105,-0.1013,-0.1013,-0.1013,-0.1013,-0.104036091614,-0.1013,4.46594238281,4.48921203613,4.46388244629,4.47906494141,0.0,0.0,0.0
0.011,-0.1013,-0.1013,-0.1013,-0.1013,-0.103249310303,-0.1013,4.45289611816,4.47547912598,4.4506072998,4.46548461914,0.0,0.0,0.0
0.0115,-0.1013,-0.1013,-0.1013,-0.1013,-0.103296994019,-0.1013,4.43954467773,4.46166992188,4.43794250488,4.45167541504,0.0,0.0,0.0
0.012,-0.1013,-0.1013,-0.1013,-0.1013,-0.102653263855,-0.1013,4.43016052246,4.45381164551,4.43183898926,4.44625854492,0.0,0.0,0.0
0.0125,-0.1013,-0.1013,-0.1013,-0.1013,-0.102104901123,-0.1013,4.4898223877,4.52186584473,4.50752258301,4.53117370605,0.0,0.0,0.0
0.013,-0.1013,-0.1013,-0.1013,-0.1013,-0.103082417297,-0.1013,4.63790893555,4.67132568359,4.65423583984,4.67475891113,0.0,0.0,0.0
0.0135,-0.1013,-0.1013,-0.1013,-0.1013,-0.101961849976,-0.1013,4.67498779297,4.70062255859,4.67483520508,4.68681335449,0.0,0.0,0.0
0.014,-0.1013,-0.1013,-0.1013,-0.1013,-0.102772473145,-0.1013,4.65599060059,4.68215942383,4.65606689453,4.66957092285,0.0,0.0,0.0
0.0145,-0.1013,-0.1013,-0.1013,-0.1013,-0.102677105713,-0.1013,4.63989257812,4.66613769531,4.63958740234,4.65370178223,0.0,0.0,0.0
0.015,-0.1013,-0.1013,-0.1013,-0.1013,-0.10384535675,-0.1013,4.6248626709,4.65103149414,4.62379455566,4.63874816895,0.0,0.0,0.0
0.0155,-0.1013,-0.1013,-0.1013,-0.1013,-0.102867840576,-0.1013,4.61044311523,4.63569641113,4.60884094238,4.62409973145,0.0,0.0,0.0
0.016,-0.1013,-0.1013,-0.1013,-0.1013,-0.102152584839,-0.1013,4.59625244141,4.62013244629,4.59419250488,4.60952758789,0.0,0.0,0.0
0.0165,-0.1013,-0.1013,-0.1013,-0.1013,-0.10191416626,-0.1013,4.58206176758,4.60556030273,4.57992553711,4.59518432617,0.0,0.0,0.0
0.017,-0.1013,-0.1013,-0.1013,-0.1013,-0.103678463745,-0.1013,4.56787109375,4.59098815918,4.56619262695,4.58076477051,0.0,0.0,0.0
0.0175,-0.1013,-0.1013,-0.1013,-0.1013,-0.100531338501,-0.1013,4.5539855957,4.57664489746,4.55230712891,4.56581115723,0.0,0.0,0.0
0.018,-0.1013,-0.1013,-0.1013,-0.1013,-0.102867840576,-0.1013,4.53926086426,4.56260681152,4.5386505127,4.55169677734,0.0,0.0,0.0
0.0185,-0.1013,-0.1013,-0.1013,-0.1013,-0.103106259155,-0.1013,4.5246887207,4.54895019531,4.52476501465,4.53773498535,0.0,0.0,0.0
0.019,-0.1013,-0.1013,-0.1013,-0.1013,-0.102796315002,-0.1013,4.51080322266,4.53544616699,4.51080322266,4.52369689941,0.0,0.0,0.0
0.0195,-0.1013,-0.1013,-0.1013,-0.1013,-0.102963208008,-0.1013,4.49676513672,4.52209472656,4.49661254883,4.5100402832,0.0,0.0,0.0
0.02,-0.1013,-0.1013,-0.1013,-0.1013,-0.102414845276,-0.1013,4.48303222656,4.5085144043,4.48257446289,4.49661254883,0.0,0.0,0.0
