startest,,鱼雷,手动触发,,2015-06-03,--&-0.09&--&--&--&--,--&--&--&--,--,--,6.1,6.1,--&--,--
0,1,1,1,1,1,1,0,0,0,0,0,0,1
True,False,True,False,False,False,False,False,False,False,False,False,False,False
0.018,-0.1013,-0.115786312866,-0.1013,-0.1013,-0.1013,-0.1013,4.46220397949,4.48760986328,4.46182250977,4.47601318359,0.0,0.0,0.0
0.0185,-0.1013,-0.116024731445,-0.1013,-0.1013,-0.1013,-0.1013,4.45014953613,4.47288513184,4.44961547852,4.46182250977,0.0,0.0,0.0
0.019,-0.1013,-0.119362591553,-0.1013,-0.1013,-0.1013,-0.1013,4.43649291992,4.45953369141,4.43511962891,4.44961547852,0.0,0.0,0.0
0.0195,-0.1013,-0.111733197021,-0.1013,-0.1013,-0.1013,-0.1013,4.43252563477,4.4588470459,4.43565368652,4.45266723633,0.0,0.0,0.0
0.02,-0.1013,-0.113640545654,-0.1013,-0.1013,-0.1013,-0.1013,4.52697753906,4.55978393555,4.54605102539,4.56932067871,0.0,0.0,0.0
0.0205,-0.1013,-0.114117382813,-0.1013,-0.1013,-0.1013,-0.1013,4.6549987793,4.68566894531,4.6622467041,4.68070983887,0.0,0.0,0.0
0.021,-0.1013,-0.116739987183,-0.1013,-0.1013,-0.1013,-0.1013,4.65507507324,4.68048095703,4.65522766113,4.66865539551,0.0,0.0,0.0
0.0215,-0.1013,-0.117693661499,-0.1013,-0.1013,-0.1013,-0.1013,4.64080810547,4.66384887695,4.63890075684,4.65270996094,0.0,0.0,0.0
0.022,-0.1013,-0.115309475708,-0.1013,-0.1013,-0.1013,-0.1013,4.62356567383,4.64950561523,4.62242126465,4.63745117188,0.0,0.0,0.0
0.0225,-0.1013,-0.113402127075,-0.1013,-0.1013,-0.1013,-0.1013,4.60861206055,4.63348388672,4.60868835449,4.6215057373,0.0,0.0,0.0
0.023,-0.1013,-0.113878964233,-0.1013,-0.1013,-0.1013,-0.1013,4.59503173828,4.61837768555,4.59365844727,4.6076965332,0.0,0.0,0.0
0.0235,-0.1013,-0.115786312866,-0.1013,-0.1013,-0.1013,-0.1013,4.5792388916,4.60494995117,4.57847595215,4.59335327148,0.0,0.0,0.0
0.024,-0.1013,-0.114594219971,-0.1013,-0.1013,-0.1013,-0.1013,4.56512451172,4.58953857422,4.56527709961,4.57801818848,0.0,0.0,0.0
